,defined_in,used_by,role
Matrix,parameters_derivative.h,"['distributions.h', 'parameters_derivative.h', 'parameters_distribution.h', 'parameters.h', 'lapack_headers.h', 'models_MoffattHume_allosteric.h', 'qmodel.h', 'derivative_operator.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
Maybe_error,maybe_error.h,"['parameters_derivative.h', 'parameters_distribution.h', 'maybe_error.h', 'models_MoffattHume_allosteric.h', 'fold.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'grammar_typed.h', 'CLI_function_table.h', 'parameters.h', 'derivative_operator.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'lapack_headers.h', 'grammar_untyped.h', 'variables.h', 'qmodel.h', 'general_algorithm_on_containers.h', 'CLI_macro_dr_base.h', 'multivariate_normal_distribution.h', 'distributions.h', 'grammar_Identifier.h', 'derivative_test.h', 'general_output_operator.h', 'lexer_untyped.h', 'lexer_typed.h', 'experiment.h', 'parallel_tempering.h']",Provider
Memoiza_all_values,function_memoization.h,"['CLI_function_table.h', 'function_memoization.h']",Provider
Memoiza_overload,function_memoization.h,"['CLI_function_table.h', 'function_memoization.h']",Provider
Model,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Models_Library,models_MoffattHume_allosteric.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h']",Provider
MyTranformations,parameters.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'parameters.h', 'parameters_distribution.h']",Provider
N,qmodel.h,"['lapack_headers.h', 'qmodel.h', 'function_measure_verification_and_optimization.h', 'derivative_operator.h', 'parallel_tempering.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
N_Ch_mean,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
N_Ch_mean_time_segment_duration,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
N_St,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'qmodel.h']",Provider
Names,parameters.h,"['models_MoffattHume_linear.h', 'parameters.h']",Provider
NoDerivative,derivative_operator.h,"['derivative_operator.h', 'derivative_test.h']",Provider
Nothing,maybe_error.h,"['function_measure_verification_and_optimization.h', 'maybe_error.h', 'qmodel.h']",Provider
Op,lapack_headers.h,"['qmodel.h', 'derivative_operator.h', 'lapack_headers.h']",Provider
P,parallel_tempering.h,"['parameters_derivative.h', 'CLI_function_table.h', 'lapack_headers.h', 'qmodel.h', 'function_measure_verification_and_optimization.h', 'parallel_tempering.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
P_initial,qmodel.h,"['models_MoffattHume_linear.h', 'qmodel.h']",Provider
Parameter,parallel_tempering.h,"['experiment.h', 'parallel_tempering.h', 'parameters_distribution.h', 'qmodel.h']",Provider
Parameters,parallel_tempering.h,"['variables_derivative.h', 'derivative_test.h', 'parameters.h', 'lapack_headers.h', 'qmodel.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
Parameters_Names,parameters.h,"['parameters.h', 'allosteric_models.h']",Provider
Parameters_Transformations,parameters.h,"['parameters_derivative.h', 'parameters_distribution.h', 'parameters.h', 'qmodel.h', 'models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h']",Provider
Parameters_transformed,parameters.h,"['parameters_derivative.h', 'CLI_function_table.h', 'parameters_distribution.h', 'parameters.h', 'qmodel.h', 'parallel_tempering.h']",Provider
Parameters_values,parameters.h,"['parameters_derivative.h', 'parameters.h', 'qmodel.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Patch_Model,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Patch_current,qmodel.h,"['experiment.h', 'qmodel.h']",Provider
Pink_Noise,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Poisson_noise_expected_logL,gsl_integrate.h,"['gsl_integrate.h', 'qmodel.h']",Provider
Poisson_noise_normalization,gsl_integrate.h,"['gsl_integrate.h', 'qmodel.h']",Provider
Power,variables.h,"['variables.h', 'qmodel.h']",Provider
Primitive,derivative_operator.h,"['parameters_derivative.h', 'derivative_operator.h']",Provider
Prior,parallel_tempering.h,"['parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
Probability_error_tolerance,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Product,variables.h,"['variables.h', 'qmodel.h']",Provider
Proportional_Noise,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
Q0,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'qmodel.h']",Provider
Q0_formula,qmodel.h,"['models_MoffattHume_linear.h', 'allosteric_models.h', 'qmodel.h']",Provider
Qa,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'qmodel.h']",Provider
Qa_formula,qmodel.h,"['models_MoffattHume_linear.h', 'allosteric_models.h', 'qmodel.h']",Provider
R,maybe_error.h,"['bayesian_linear_regression.h', 'general_algorithm_on_containers.h', 'maybe_error.h', 'lapack_headers.h']",Provider
Recording,experiment.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'experiment.h', 'CLI_thermo_evidence_fraction_dts.h']",Provider
Recording_conditions,experiment.h,"['experiment.h', 'qmodel.h']",Provider
S,models_MoffattHume_linear.h,"['parameters_derivative.h', 'CLI_function_table.h', 'maybe_error.h', 'lapack_headers.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'fold.h', 'derivative_operator.h', 'parallel_tempering.h', 'models_MoffattHume_linear.h', 'variables_derivative.h']",Provider
Save_Evidence_every,parallel_tempering.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
Save_Likelihood_every,parallel_tempering.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
Save_Parameter_every,parallel_tempering.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
Save_Predictions_every,parallel_tempering.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
Save_RateParameter_every,parallel_tempering.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
Saving_intervals,parallel_tempering.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
Simulated_Recording,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
Simulation_n_sub_dt,qmodel.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h']",Provider
Single_Thread_Memoizer,CLI_function_table.h,"['CLI_function_table.h', 'function_memoization.h']",Provider
T,parallel_tempering.h,"['parameters_derivative.h', 'maybe_error.h', 'fold.h', 'grammar_typed.h', 'derivative_operator.h', 'parallel_tempering_linear_regression.h', 'lapack_headers.h', 'qmodel.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'general_algorithm_on_containers.h', 'CLI_regular_types.h', 'multivariate_normal_distribution.h', 'distributions.h', 'general_output_operator.h', 'lexer_untyped.h', 'lexer_typed.h', 'function_memoization.h', 'parallel_tempering.h', 'variables_derivative.h']",Provider
T0,variables.h,"['variables.h', 'derivative_test.h', 'parallel_tempering.h']",Provider
Taylor_first,parameters_derivative.h,"['parameters_derivative.h', 'variables_derivative.h', 'derivative_test.h']",Provider
Thread_Memoizer,CLI_function_table.h,"['CLI_function_table.h', 'function_memoization.h']",Provider
Time,experiment.h,"['experiment.h', 'qmodel.h']",Provider
Time_it_st,CLI_function_table.h,"['function_measure_verification_and_optimization.h', 'CLI_function_table.h', 'qmodel.h']",Provider
ToString,qmodel.h,"['variables.h', 'function_measure_verification_and_optimization.h', 'maybe_error.h', 'qmodel.h']",Provider
Trace,maybe_error.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'maybe_error.h']",Provider
TranspMult,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h']",Provider
Ts,general_output_operator.h,"['grammar_typed.h', 'general_output_operator.h', 'maybe_error.h', 'qmodel.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'derivative_operator.h', 'function_memoization.h', 'parallel_tempering.h', 'models_MoffattHume_linear.h', 'CLI_regular_types.h', 'variables_derivative.h']",Provider
V,qmodel.h,"['CLI_function_table.h', 'maybe_error.h', 'parameters.h', 'lapack_headers.h', 'qmodel.h', 'general_algorithm_on_containers.h']",Provider
VR,parameters_derivative.h,"['parameters_derivative.h', 'lapack_headers.h']",Provider
Var,variables.h,"['distributions.h', 'qmodel.h', 'variables.h', 'experiment.h', 'derivative_operator.h', 'parallel_tempering.h', 'variables_derivative.h']",Provider
Variables,parallel_tempering.h,"['parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
Vector_Map,variables.h,"['variables.h', 'qmodel.h']",Provider
Vector_Space,variables.h,"['distributions.h', 'variables_derivative.h', 'CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'models_MoffattHume_allosteric.h', 'CLI_thermo_evidence_fraction_dts.h', 'variables.h', 'experiment.h', 'derivative_operator.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'allosteric_models.h']",Provider
Vs,qmodel.h,"['distributions.h', 'variables.h', 'qmodel.h']",Provider
W,qmodel.h,"['qmodel.h', 'lapack_headers.h']",Provider
X,distributions.h,"['distributions.h', 'parameters_derivative.h', 'lapack_headers.h', 'derivative_operator.h', 'function_memoization.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'variables_derivative.h']",Provider
XTX,parallel_tempering_linear_regression.h,"['parameters_derivative.h', 'bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
XXT,maybe_error.h,"['multivariate_normal_distribution.h', 'maybe_error.h', 'qmodel.h']",Provider
X_plus_XT,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h']",Provider
Y,function_memoization.h,"['parameters_derivative.h', 'derivative_operator.h', 'derivative_test.h', 'function_memoization.h']",Provider
abort,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
abs,parameters_derivative.h,"['parameters_derivative.h', 'gsl_integrate.h', 'lapack_headers.h', 'qmodel.h', 'variables.h', 'general_algorithm_on_containers.h', 'derivative_operator.h', 'parallel_tempering.h', 'multivariate_normal_distribution.h']",Provider
adapt_beta,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
add_Patch_inactivation,qmodel.h,"['models_MoffattHume_linear.h', 'qmodel.h']",Provider
add_Patch_inactivation_to_model,models_MoffattHume_linear.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h']",Provider
adjust_beta,parallel_tempering.h,"['CLI_thermo_evidence_dts.h', 'parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
advance,parallel_tempering.h,"['function_measure_verification_and_optimization.h', 'parallel_tempering.h', 'function_memoization.h', 'lapack_headers.h']",Provider
algorithm,parallel_tempering_linear_regression.h,"['CLI_function_table.h', 'lapack_headers.h', 'function_measure_verification_and_optimization.h', 'parallel_tempering.h', 'parallel_tempering_linear_regression.h']",Provider
alpha,parallel_tempering_linear_regression.h,"['lapack_headers.h', 'bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
apply,parameters_derivative.h,"['grammar_typed.h', 'parameters_derivative.h', 'general_output_operator.h', 'maybe_error.h', 'qmodel.h', 'grammar_untyped.h', 'variables.h', 'models_MoffattHume_allosteric.h', 'derivative_operator.h', 'function_memoization.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'variables_derivative.h']",Provider
applyMap,parameters_derivative.h,"['parameters_derivative.h', 'multivariate_normal_distribution.h']",Provider
apply_F,function_memoization.h,"['function_measure_verification_and_optimization.h', 'function_memoization.h']",Provider
assert,parallel_tempering.h,"['distributions.h', 'parameters_derivative.h', 'parameters_distribution.h', 'parameters.h', 'lapack_headers.h', 'models_MoffattHume_allosteric.h', 'experiment.h', 'qmodel.h', 'function_memoization.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
at,allosteric_models.h,"['grammar_Identifier.h', 'derivative_test.h', 'maybe_error.h', 'lapack_headers.h', 'qmodel.h', 'parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h']",Provider
back,allosteric_models.h,"['parameters_distribution.h', 'qmodel.h', 'parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h']",Provider
bad,general_output_operator.h,"['general_output_operator.h', 'lapack_headers.h']",Provider
base_Identifier_compiler,lexer_typed.h,"['grammar_typed.h', 'lexer_typed.h']",Provider
base_transformation,parameters.h,"['models_MoffattHume_linear.h', 'parameters.h']",Provider
base_typed_expression,lexer_typed.h,"['grammar_typed.h', 'grammar_untyped.h', 'lexer_typed.h']",Provider
base_typed_statement,grammar_untyped.h,"['grammar_typed.h', 'grammar_untyped.h']",Provider
bayesian_linear_regression,bayesian_linear_regression.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
bayesian_linear_regression_calculate_mean_logLik,parallel_tempering.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
begin,parameters_derivative.h,"['parameters_derivative.h', 'CLI_function_table.h', 'general_output_operator.h', 'parameters_distribution.h', 'lapack_headers.h', 'models_MoffattHume_allosteric.h', 'general_algorithm_on_containers.h', 'function_memoization.h', 'parallel_tempering.h', 'models_MoffattHume_linear.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h']",Provider
beta,parallel_tempering.h,"['qmodel.h', 'lapack_headers.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
build,variables.h,"['lapack_headers.h', 'models_MoffattHume_allosteric.h', 'variables.h', 'qmodel.h', 'derivative_operator.h', 'models_MoffattHume_linear.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
build_,parameters_derivative.h,"['parameters_derivative.h', 'models_MoffattHume_linear.h']",Provider
c,lapack_headers.h,"['general_output_operator.h', 'lapack_headers.h', 'general_algorithm_on_containers.h', 'fold.h', 'derivative_operator.h', 'parallel_tempering.h', 'allosteric_models.h']",Provider
calc_Pinitial,qmodel.h,"['models_MoffattHume_allosteric.h', 'models_MoffattHume_linear.h', 'qmodel.h']",Provider
calc_Qdt,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
calc_Qdt_ATP_step,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
calc_Qdtm_ATP_step,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
calc_Qx,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
calc_eigen,qmodel.h,"['CLI_function_table.h', 'qmodel.h']",Provider
calc_experiment_fractions,qmodel.h,"['qmodel.h', 'CLI_macro_dr_base.h']",Provider
calc_seed,qmodel.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'qmodel.h', 'CLI_thermo_evidence_fraction_dts.h', 'CLI_macro_dr_base.h']",Provider
calc_thermo_mcmc_continuation,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_Acceptance_variance,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_Evidence,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_across_sta,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_deltaBeta_deltaL,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_delta_Evidence_variance,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_effective_sample_size,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_sample_size,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
calculate_within_sta,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
catch,lapack_headers.h,"['experiment.h', 'lapack_headers.h']",Provider
ceil,parallel_tempering.h,"['parallel_tempering.h', 'qmodel.h']",Provider
change_states_number,qmodel.h,"['models_MoffattHume_linear.h', 'qmodel.h']",Provider
checks_convergence,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
checks_derivative_var_ratio,parallel_tempering.h,"['parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'qmodel.h']",Provider
cholesky,multivariate_normal_distribution.h,"['multivariate_normal_distribution.h', 'maybe_error.h', 'lapack_headers.h']",Provider
className,qmodel.h,"['distributions.h', 'general_algorithm_on_containers.h', 'allosteric_models.h', 'qmodel.h']",Provider
clear,qmodel.h,"['lexer_typed.h', 'qmodel.h', 'experiment.h', 'function_measure_verification_and_optimization.h', 'function_memoization.h']",Provider
clone,parameters.h,"['grammar_typed.h', 'grammar_Identifier.h', 'parameters.h', 'lexer_untyped.h', 'lexer_typed.h', 'grammar_untyped.h', 'models_MoffattHume_linear.h']",Provider
clone_map,grammar_Identifier.h,"['grammar_typed.h', 'grammar_Identifier.h', 'lexer_typed.h']",Provider
clone_tuple,grammar_untyped.h,"['grammar_typed.h', 'grammar_untyped.h']",Provider
clone_vector,grammar_Identifier.h,"['grammar_typed.h', 'grammar_untyped.h', 'grammar_Identifier.h']",Provider
compare_contents,qmodel.h,"['parameters.h', 'qmodel.h', 'variables.h', 'general_algorithm_on_containers.h', 'derivative_operator.h', 'models_MoffattHume_linear.h']",Provider
compile_argument_list,grammar_untyped.h,"['grammar_typed.h', 'grammar_untyped.h']",Provider
compile_assigment,grammar_typed.h,"['grammar_typed.h', 'grammar_untyped.h']",Provider
compile_expression,lexer_typed.h,"['grammar_untyped.h', 'lexer_typed.h']",Provider
compile_identifier,grammar_untyped.h,"['grammar_typed.h', 'grammar_untyped.h']",Provider
conjugate,bayesian_linear_regression.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'lapack_headers.h']",Provider
constexpr,parallel_tempering_linear_regression.h,"['parameters_derivative.h', 'maybe_error.h', 'models_MoffattHume_linear.h', 'grammar_typed.h', 'CLI_function_table.h', 'parameters.h', 'derivative_operator.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'lapack_headers.h', 'qmodel.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'CLI_macro_dr_base.h', 'distributions.h', 'general_output_operator.h', 'lexer_untyped.h', 'function_memoization.h', 'variables_derivative.h']",Provider
constexpr_Var,variables.h,"['variables.h', 'qmodel.h']",Provider
constexpr_Var_domain,variables.h,"['CLI_function_table.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'CLI_thermo_evidence_fraction_dts.h', 'variables.h']",Provider
constexpr_Var_value,variables.h,"['variables.h', 'qmodel.h']",Provider
count,parallel_tempering.h,"['maybe_error.h', 'qmodel.h', 'function_measure_verification_and_optimization.h', 'parallel_tempering.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
cov,parameters_distribution.h,"['bayesian_linear_regression.h', 'parameters_distribution.h', 'multivariate_normal_distribution.h']",Provider
cov_inv,multivariate_normal_distribution.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'parameters_distribution.h', 'multivariate_normal_distribution.h']",Provider
create,qmodel.h,"['parameters_distribution.h', 'parameters.h', 'qmodel.h', 'function_measure_verification_and_optimization.h', 'function_memoization.h']",Provider
create_thermo_mcmc,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
cuevi_less_than_max_iteration,parallel_tempering.h,"['parallel_tempering.h', 'qmodel.h']",Provider
cumsum,qmodel.h,"['general_algorithm_on_containers.h', 'qmodel.h']",Provider
d,distributions.h,"['distributions.h', 'parameters_derivative.h', 'parameters_distribution.h', 'qmodel.h', 'variables.h', 'derivative_operator.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'allosteric_models.h', 'multivariate_normal_distribution.h']",Provider
d_d_,parameters_derivative.h,"['parameters_derivative.h', 'derivative_operator.h']",Provider
decltype,variables_derivative.h,"['parameters_derivative.h', 'maybe_error.h', 'models_MoffattHume_allosteric.h', 'fold.h', 'models_MoffattHume_linear.h', 'CLI_function_table.h', 'derivative_operator.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'qmodel.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'general_algorithm_on_containers.h', 'CLI_macro_dr_base.h', 'multivariate_normal_distribution.h', 'distributions.h', 'derivative_test.h', 'CLI_thermo_evidence.h', 'CLI_thermo_evidence_dts.h', 'CLI_thermo_evidence_fraction_dts.h', 'experiment.h', 'parallel_tempering.h', 'variables_derivative.h']",Provider
derivative,parameters_derivative.h,"['parameters_derivative.h', 'derivative_operator.h', 'variables_derivative.h', 'qmodel.h']",Provider
df,parallel_tempering.h,"['parameters_derivative.h', 'parallel_tempering.h']",Provider
diag,parameters_derivative.h,"['parameters_derivative.h', 'multivariate_normal_distribution.h', 'maybe_error.h', 'qmodel.h']",Provider
diagpos,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h']",Provider
diff,general_algorithm_on_containers.h,"['general_algorithm_on_containers.h', 'parallel_tempering_linear_regression.h']",Provider
digamma,bayesian_linear_regression.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h']",Provider
dimensionless,variables.h,"['variables.h', 'qmodel.h']",Provider
distributions,distributions.h,"['distributions.h', 'bayesian_linear_regression.h', 'function_memoization.h']",Provider
dx,parameters_derivative.h,"['parameters_derivative.h', 'derivative_test.h', 'qmodel.h', 'derivative_operator.h', 'variables_derivative.h']",Provider
e,allosteric_models.h,"['grammar_typed.h', 'parameters_derivative.h', 'general_output_operator.h', 'maybe_error.h', 'parameters.h', 'lexer_untyped.h', 'lapack_headers.h', 'grammar_untyped.h', 'experiment.h', 'function_measure_verification_and_optimization.h', 'general_algorithm_on_containers.h', 'fold.h', 'function_memoization.h', 'qmodel.h', 'parallel_tempering.h', 'allosteric_models.h']",Provider
eigs,parameters_derivative.h,"['parameters_derivative.h', 'multivariate_normal_distribution.h', 'qmodel.h']",Provider
elemDivSafe,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h']",Provider
elemMult,parameters_derivative.h,"['parameters_derivative.h', 'qmodel.h']",Provider
elogL,distributions.h,"['distributions.h', 'qmodel.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h']",Provider
emcee_stat,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
emplace,lexer_typed.h,"['grammar_Identifier.h', 'lexer_typed.h', 'qmodel.h', 'variables.h', 'function_memoization.h', 'allosteric_models.h']",Provider
emplace_back,grammar_untyped.h,"['grammar_typed.h', 'qmodel.h', 'grammar_untyped.h', 'experiment.h', 'function_measure_verification_and_optimization.h', 'parallel_tempering.h']",Provider
end,general_output_operator.h,"['grammar_typed.h', 'general_output_operator.h', 'parameters_distribution.h', 'parameters.h', 'lexer_untyped.h', 'lexer_typed.h', 'lapack_headers.h', 'models_MoffattHume_allosteric.h', 'variables.h', 'function_measure_verification_and_optimization.h', 'general_algorithm_on_containers.h', 'experiment.h', 'function_memoization.h', 'qmodel.h', 'parallel_tempering.h', 'models_MoffattHume_linear.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h']",Provider
epsilon,qmodel.h,"['gsl_integrate.h', 'maybe_error.h', 'parameters.h', 'lapack_headers.h', 'qmodel.h', 'variables.h', 'general_algorithm_on_containers.h', 'multivariate_normal_distribution.h']",Provider
erase,allosteric_models.h,"['allosteric_models.h', 'parallel_tempering.h']",Provider
error,parallel_tempering.h,"['parameters_derivative.h', 'parameters_distribution.h', 'maybe_error.h', 'models_MoffattHume_allosteric.h', 'fold.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'grammar_typed.h', 'CLI_function_table.h', 'parameters.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'lapack_headers.h', 'grammar_untyped.h', 'variables.h', 'qmodel.h', 'general_algorithm_on_containers.h', 'multivariate_normal_distribution.h', 'distributions.h', 'derivative_test.h', 'CLI_thermo_evidence.h', 'general_output_operator.h', 'CLI_thermo_evidence_dts.h', 'lexer_untyped.h', 'lexer_typed.h', 'CLI_thermo_evidence_fraction_dts.h', 'parallel_tempering.h']",Provider
error_message,parallel_tempering.h,"['parameters_derivative.h', 'parameters_distribution.h', 'maybe_error.h', 'bayesian_linear_regression.h', 'models_MoffattHume_linear.h', 'grammar_typed.h', 'CLI_function_table.h', 'parameters.h', 'derivative_operator.h', 'parallel_tempering_linear_regression.h', 'allosteric_models.h', 'lapack_headers.h', 'grammar_untyped.h', 'variables.h', 'qmodel.h', 'general_algorithm_on_containers.h', 'multivariate_normal_distribution.h', 'distributions.h', 'grammar_Identifier.h', 'derivative_test.h', 'lexer_untyped.h', 'lexer_typed.h', 'experiment.h', 'parallel_tempering.h']",Provider
evidence,parallel_tempering_linear_regression.h,"['bayesian_linear_regression.h', 'parallel_tempering_linear_regression.h', 'CLI_function_table.h', 'parallel_tempering.h']",Provider
exp,parallel_tempering.h,"['grammar_typed.h', 'distributions.h', 'parameters_derivative.h', 'gsl_integrate.h', 'qmodel.h', 'derivative_operator.h', 'parallel_tempering.h', 'bayesian_linear_regression.h', 'multivariate_normal_distribution.h']",Provider
extract_double,experiment.h,"['experiment.h', 'qmodel.h']",Provider
extract_parameters_last,parallel_tempering.h,"['parallel_tempering_linear_regression.h', 'parallel_tempering.h']",Provider
